Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2022-03-28,140.87,140.0,140.97,137.9,10820000.0,-0.0074,132.64000000000001,76.17039223956135
2022-03-25,141.92,141.09,143.18,140.8,8390000.0,0.0087,133.3975,85.23639607493308
2022-03-24,140.69,140.3,140.71,139.11,10020000.0,0.006500000000000001,134.0915,79.79528259902094
2022-03-23,139.78,140.98,141.59,139.2,12090000.0,-0.0199,134.5525,71.52560083594571
2022-03-22,142.62,142.27,143.93,141.72,13550000.0,0.0213,135.10449999999997,73.44054580896689
2022-03-21,139.65,140.35,140.76,138.73,12680000.0,-0.0032,135.531,63.39130434782609
2022-03-18,140.1,140.19,140.85,138.46,23660000.0,-0.0004,136.113,71.40142517814729
2022-03-17,140.15,136.86,140.19,135.92,17050000.0,0.0126,136.8145,70.91787439613529
2022-03-16,138.4,134.87,138.49,134.43,20350000.0,0.0447,137.3695,62.28155339805828
2022-03-15,132.48,131.8,133.55,131.13,15100000.0,0.0177,137.41649999999998,42.83924843423798
2022-03-14,130.17,129.46,132.92,129.23,15790000.0,0.009899999999999999,137.275,39.98441153546373
2022-03-11,128.89,132.49,134.08,128.42,20060000.0,-0.0225,137.04500000000002,35.672965676822216
2022-03-10,131.86,131.86,133.45,130.32,15600000.0,-0.0118,137.08350000000002,32.4149108589952
2022-03-09,133.44,132.9,135.24,132.44,17540000.0,0.0401,137.18099999999998,34.89461358313817
2022-03-08,128.3,129.64,131.79,127.27,19210000.0,-0.006999999999999999,136.929,29.35960591133005
2022-03-07,129.21,132.17,132.69,128.95,27560000.0,-0.038599999999999995,136.594,29.033322335862792
2022-03-04,134.4,134.94,135.42,132.4,21020000.0,-0.0281,136.54850000000002,40.82287715202802
2022-03-03,138.29,139.84,140.98,137.06,16640000.0,-0.0070999999999999995,136.647,47.99999999999999
2022-03-02,139.28,137.29,140.04,136.61,19410000.0,0.0207,136.584,45.28248587570621
2022-03-01,136.45,140.04,140.48,133.58,36840000.0,-0.0377,136.3475,45.46228020419737
2022-02-28,141.8,143.55,145.06,140.88,31320000.0,-0.0417,136.394,52.11653386454185
2022-02-25,147.97,145.25,150.13,144.91,18370000.0,0.023700000000000002,136.6965,58.44857389801209
2022-02-24,144.55,142.94,144.99,139.78,25660000.0,-0.0278,136.88950000000003,56.41293013555788
2022-02-23,148.69,153.12,153.3,147.97,11800000.0,-0.0209,137.33499999999998,67.55468919211611
2022-02-22,151.87,150.6,153.24,150.41,11330000.0,-0.0018,137.7975,73.0654761904762
2022-02-18,152.14,152.13,154.14,151.13,11730000.0,0.004699999999999999,138.422,75.25526830328049
2022-02-17,151.43,153.0,153.73,150.66,11370000.0,-0.023,138.9885,72.35549463102585
2022-02-16,155.0,153.74,156.1,153.74,9080000.0,0.0018,139.731,73.55769230769235
2022-02-15,154.72,154.51,155.94,153.85,9500000.0,0.0146,140.547,82.29828850855748
2022-02-14,152.49,152.73,153.68,150.32,17030000.0,-0.009300000000000001,141.54749999999999,77.56987209853155
2022-02-11,153.92,155.61,158.19,152.97,16830000.0,-0.013000000000000001,142.73499999999999,75.37701508060326
2022-02-10,155.95,156.66,159.03,155.22,16460000.0,-0.0042,144.088,74.12568306010932
2022-02-09,156.6,156.59,157.43,155.82,9130000.0,0.0042,145.325,73.88306674020964
2022-02-08,155.95,155.0,158.48,154.8,20410000.0,0.018799999999999997,146.4505,78.60915492957753
2022-02-07,153.07,153.27,153.62,150.85,12570000.0,0.0033,147.68900000000002,67.82663714014555
2022-02-04,152.56,149.1,153.5,148.77,16649999.999999998,0.026000000000000002,148.8565,58.84393063583819
2022-02-03,148.7,150.0,151.65,148.28,12470000.0,-0.0083,149.5715,57.86282682834405
2022-02-02,149.94,150.5,150.94,148.07,12440000.0,-0.008,150.154,52.660706683695196
2022-02-01,151.15,148.69,151.47,148.3,14580000.0,0.0172,150.7475,48.3271375464684
2022-01-31,148.6,145.64,148.79,144.67,13990000.0,0.013600000000000001,151.355,42.56302521008404
2022-01-28,146.61,144.19,146.76,142.17,14120000.0,0.0089,151.59550000000002,40.39074960127593
2022-01-27,145.31,149.42,150.38,144.13,17540000.0,-0.0176,151.4625,28.759316089434463
2022-01-26,147.92,148.72,150.57,145.96,20710000.0,0.0095,151.631,36.475735879077135
2022-01-25,146.53,143.65,146.85,140.79,18920000.0,0.0109,151.523,37.73662551440327
2022-01-24,144.95,142.28,145.48,139.57,28500000.0,-0.0009,151.177,31.656441717791438
2022-01-21,145.08,147.5,147.51,144.27,20710000.0,-0.0175,150.824,25.898004434589893
2022-01-20,147.66,148.99,150.61,147.36,14860000.0,-0.0085,150.6355,31.740196078431396
2022-01-19,148.93,151.57,152.23,148.55,22380000.0,-0.0155,150.33200000000002,36.015936254980126
2022-01-18,151.27,155.78,155.78,150.54,32350000.0,-0.04190000000000001,150.1595,46.33550488599353
2022-01-14,157.89,160.76,161.03,156.9,40160000.0,-0.061500000000000006,150.42950000000002,58.68927290511898
2022-01-13,168.23,168.34,169.81,167.89,13620000.0,-0.0012,151.145,76.28532974427995
2022-01-12,168.44,168.46,169.59,167.18,12570000.0,0.005699999999999999,151.76950000000002,75.60908084163897
2022-01-11,167.49,168.26,168.52,166.31,11850000.0,0.001,152.314,72.78304517568323
2022-01-10,167.32,169.07,169.31,165.53,12920000.0,0.001,152.8825,77.95698924731184
2022-01-07,167.16,165.66,167.53,165.06,13910000.0,0.009899999999999999,153.587,82.46445497630329
2022-01-06,165.52,166.91,167.37,163.87,14050000.0,0.0106,154.23499999999999,81.58799624882779
2022-01-05,163.78,167.82,168.36,163.73,17540000.0,-0.0241,154.989,75.48200514138819
2022-01-04,167.83,164.31,168.58,164.23,20200000.0,0.0379,155.8835,81.52753108348134
2022-01-03,161.7,159.86,162.64,159.51,13130000.0,0.0212,156.411,71.8497260631359
2021-12-31,158.35,158.45,159.29,157.96,5810000.0,-0.0008,156.89849999999998,65.96871239470514
